timestamp,timestamp,open,high,low,close,volume,turnover,SMA_5,SMA_10
2020-03-25 19:00:00,1585162800000,6652.5,6671.5,6597.5,6622.0,10.834,71742.748,6640.8,6606.55
2020-03-25 20:00:00,1585166400000,6622.0,6638.0,6573.0,6590.0,20.314,133869.26,6635.8,6606.4
2020-03-25 21:00:00,1585170000000,6590.0,6602.0,6556.0,6588.0,9.025,59456.7,6620.5,6614.05
2020-03-25 22:00:00,1585173600000,6588.0,6692.5,6588.0,6681.0,12.434,83071.554,6626.7,6623.8
2020-03-25 23:00:00,1585177200000,6681.0,6698.5,6650.0,6698.5,3.036,20336.646,6635.9,6635.15
2020-03-26 00:00:00,1585180800000,6698.5,6767.0,6698.5,6738.5,27.19,183219.815,6659.2,6650.0
2020-03-26 01:00:00,1585184400000,6738.5,6738.5,6675.0,6688.0,80.82,540524.16,6678.8,6657.3
2020-03-26 02:00:00,1585188000000,6688.0,6698.0,6655.0,6694.0,3.376,22598.944,6700.0,6660.25
2020-03-26 03:00:00,1585191600000,6694.0,6742.0,6667.5,6726.5,258.723,1740300.2595,6709.1,6667.9
2020-03-26 04:00:00,1585195200000,6726.5,6751.0,6678.5,6692.0,191.123,1278995.116,6707.8,6671.85
2020-03-26 05:00:00,1585198800000,6692.0,6708.5,6613.5,6625.0,185.905,1231620.625,6685.1,6672.15
2020-03-26 06:00:00,1585202400000,6625.0,6666.0,6585.0,6636.0,160.821,1067208.156,6674.7,6676.75
2020-03-26 07:00:00,1585206000000,6636.0,6636.0,6555.0,6582.0,206.572,1359656.904,6652.3,6676.15
2020-03-26 08:00:00,1585209600000,6582.0,6623.5,6566.0,6610.5,153.397,1014030.8685,6629.1,6669.1
2020-03-26 09:00:00,1585213200000,6610.5,6641.5,6600.0,6616.5,155.435,1028435.6775,6614.0,6660.9
2020-03-26 10:00:00,1585216800000,6616.5,6638.5,6585.5,6616.0,174.321,1153307.736,6612.2,6648.65
2020-03-26 11:00:00,1585220400000,6616.0,6665.0,6590.0,6598.5,156.592,1033272.312,6604.7,6639.7
2020-03-26 12:00:00,1585224000000,6598.5,6631.0,6571.5,6620.5,138.187,914867.0335,6612.4,6632.35
